word_lc,cos_dist,count,root_word,lemma_count
alarming,1.0,0.8,root,1
amazing,1.0,0.8,root,2
antecedents,1.0,0.8,root,1
astonished,1.0,0.8,root,1
astonishing,1.0,0.8,root,1
astounded,1.0,0.8,root,1
astounding,1.0,0.8,root,1
asunder,1.0,0.8,root,1
bizarre,1.0,0.8,root,3
brilliant,1.0,0.8,root,1
colossal,1.0,0.8,root,4
compulsion,1.0,0.8,root,1
considerable,1.0,0.8,root,1
contempt,1.0,0.8,root,2
corroborate,1.0,0.8,root,1
curious,1.0,0.8,root,12
dazzling,1.0,0.8,root,1
enchanting,1.0,0.8,root,1
enormous,1.0,0.8,root,11
exciting,1.0,0.8,root,3
extraordinary,1.0,0.8,root,4
fantastic,1.0,0.8,root,7
fascinated,1.0,0.8,root,2
giant,1.0,0.8,root,1
gigantic,1.0,0.8,root,1
glorious,1.0,0.8,root,1
gorgeous,1.0,0.8,root,5
great,1.0,0.8,root,26
greater,1.0,0.8,root,1
greatest,1.0,0.8,root,1
grotesque,1.0,0.8,root,6
huge,1.0,0.8,root,4
impressive,1.0,0.8,root,2
incalculable,1.0,0.8,root,1
incomparable,1.0,0.8,root,1
inconceivable,1.0,0.8,root,1
lovely,1.0,0.8,root,10
magical,1.0,0.8,root,1
marvelled,1.0,0.8,root,1
marvelling,1.0,0.8,root,1
massive,1.0,0.8,root,1
monstrous,1.0,0.8,root,1
odd,1.0,0.8,root,1
oddly,1.0,0.8,root,2
overwhelming,1.0,0.8,root,2
peculiar,1.0,0.8,root,3
peculiarly,1.0,0.8,root,2
rare,1.0,0.8,root,2
remarkable,1.0,0.8,root,1
significant,1.0,0.8,root,1
solidarity,1.0,0.8,root,1
splendid,1.0,0.8,root,2
startling,1.0,0.8,root,1
startlingly,1.0,0.8,root,2
strange,1.0,0.8,root,6
strangest,1.0,0.8,root,2
surprise,1.0,0.8,root,5
surprised,1.0,0.8,root,12
surprising,1.0,0.8,root,4
surprisingly,1.0,0.8,root,3
teutonic,1.0,0.8,root,1
thrilling,1.0,0.8,root,5
tremendous,1.0,0.8,root,2
ultimate,1.0,0.8,root,1
unbelievable,1.0,0.8,root,1
unfathomable,1.0,0.8,root,1
unforgettable,1.0,0.8,root,1
unprecedented,1.0,0.8,root,1
unreal,1.0,0.8,root,2
unusual,1.0,0.8,root,3
vast,1.0,0.8,root,3
weird,1.0,0.8,root,1
wonder,1.0,0.8,root,9
wondered,1.0,0.8,root,6
wonderful,1.0,0.8,root,1
wondering,1.0,0.8,root,4
