token_ID_within_document,word,lemma,before,after,word_lc
0,In,in,#, ,in
1,my,my,#, ,my
2,younger,young,#, ,younger
3,and,and,#, ,and
4,more,more,#, ,more
5,vulnerable,vulnerable,#, ,vulnerable
6,years,year,#, ,years
7,my,my,#, ,my
8,father,father,#, ,father
9,gave,give,#, ,gave
10,me,I,#, ,me
11,some,some,#, ,some
12,advice,advice,#, ,advice
13,that,that,#, ,that
14,I,I,#,#,i
15,’ve,’ve,#, ,’ve
16,been,be,#, ,been
17,turning,turn,#, ,turning
18,over,over,#, ,over
19,in,in,#, ,in
20,my,my,#, ,my
21,mind,mind,#, ,mind
22,ever,ever,#, ,ever
23,since,since,#,#,since
24,.,.,#, ,.
25,"""",121,#,#,""""
26,Whenever,whenever,#, ,whenever
27,you,you,#, ,you
28,feel,feel,#, ,feel
29,like,like,#, ,like
30,criticizing,criticize,#, ,criticizing
31,anyone,anyone,#,#,anyone
32,",",",",#,#,","
33,"""",164,#, ,""""
34,he,he,#, ,he
35,told,tell,#, ,told
36,me,I,#,#,me
37,",",",",#, ,","
38,"""",178,#,#,""""
39,just,just,#, ,just
40,remember,remember,#, ,remember
41,that,that,#, ,that
42,all,all,#, ,all
43,the,the,#, ,the
44,people,people,#, ,people
45,in,in,#, ,in
46,this,this,#, ,this
47,world,world,#, ,world
48,have,have,#,#,have
49,n’t,not,#, ,n’t
50,had,have,#, ,had
51,the,the,#, ,the
52,advantages,advantage,#, ,advantages
53,that,that,#, ,that
54,you,you,#,#,you
55,’ve,’ve,#, ,’ve
56,had,have,#,#,had
57,.,.,#,#,.
58,"""",270,#, ,""""
59,He,he,#, ,he
60,did,do,#,#,did
61,n’t,not,#, ,n’t
62,say,say,#, ,say
63,any,any,#, ,any
64,more,more,#,#,more
65,",",",",#, ,","
66,but,but,#, ,but
67,we,we,#,#,we
68,’ve,’ve,#, ,’ve
69,always,always,#, ,always
70,been,be,#, ,been
71,unusually,unusually,#, ,unusually
72,communicative,communicative,#, ,communicative
73,in,in,#, ,in
74,a,a,#, ,a
75,reserved,reserved,#, ,reserved
76,way,way,#,#,way
77,",",",",#, ,","
78,and,and,#, ,and
79,I,I,#, ,i
80,understood,understand,#, ,understood
81,that,that,#, ,that
82,he,he,#, ,he
83,meant,mean,#, ,meant
84,a,a,#, ,a
85,great,great,#, ,great
86,deal,deal,#, ,deal
87,more,more,#, ,more
88,than,than,#, ,than
89,that,that,#,#,that
90,.,.,#, ,.
91,In,in,#, ,in
92,consequence,consequence,#,#,consequence
93,",",",",#, ,","
94,I,I,#,#,i
95,’m,’m,#, ,’m
96,inclined,incline,#, ,inclined
97,to,to,#, ,to
98,reserve,reserve,#, ,reserve
99,all,all,#, ,all
100,judgements,judgement,#,#,judgements
101,",",",",#, ,","
102,a,a,#, ,a
103,habit,habit,#, ,habit
104,that,that,#, ,that
105,has,have,#, ,has
106,opened,open,#, ,opened
107,up,up,#, ,up
108,many,many,#, ,many
109,curious,curious,#, ,curious
110,natures,nature,#, ,natures
111,to,to,#, ,to
112,me,I,#, ,me
113,and,and,#, ,and
114,also,also,#, ,also
115,made,make,#, ,made
116,me,I,#, ,me
117,the,the,#, ,the
118,victim,victim,#, ,victim
119,of,of,#, ,of
120,not,not,#, ,not
121,a,a,#, ,a
122,few,few,#, ,few
123,veteran,veteran,#, ,veteran
124,bores,bore,#,#,bores
125,.,.,#, ,.
126,The,the,#, ,the
127,abnormal,abnormal,#, ,abnormal
128,mind,mind,#, ,mind
129,is,be,#, ,is
130,quick,quick,#, ,quick
131,to,to,#, ,to
132,detect,detect,#, ,detect
133,and,and,#, ,and
134,attach,attach,#, ,attach
135,itself,itself,#, ,itself
136,to,to,#, ,to
137,this,this,#, ,this
138,quality,quality,#, ,quality
139,when,when,#, ,when
140,it,it,#, ,it
141,appears,appear,#, ,appears
142,in,in,#, ,in
143,a,a,#, ,a
144,normal,normal,#, ,normal
145,person,person,#,#,person
146,",",",",#, ,","
147,and,and,#, ,and
148,so,so,#, ,so
149,it,it,#, ,it
150,came,come,#, ,came
151,about,about,#, ,about
152,that,that,#, ,that
153,in,in,#, ,in
154,college,college,#, ,college
155,I,I,#, ,i
156,was,be,#, ,was
157,unjustly,unjustly,#, ,unjustly
158,accused,accuse,#, ,accused
159,of,of,#, ,of
160,being,be,#, ,being
161,a,a,#, ,a
162,politician,politician,#,#,politician
