word,definition
alarming,"cause (someone) to feel frightened, disturbed, or in danger."
alarming,"Causing apprehension, fear or alarm; frightening"
bad,unfavorable; adverse
bad,having a harmful effect on.
bad,failing to conform to standards of moral virtue or acceptable conduct.
bad,"regretful, guilty, or ashamed about something."
bad,of poor quality or a low standard.
worse,unfavorable; adverse
worse,having a harmful effect on.
worse,failing to conform to standards of moral virtue or acceptable conduct.
worse,"regretful, guilty, or ashamed about something."
worse,of poor quality or a low standard.
criminal,a person who has committed a crime.
criminal,(of an action or situation) deplorable and shocking.
dark,suggestive of or arising from evil characteristics or forces; sinister
dark,"(of a period of time or situation) characterized by tragedy, unhappiness, or unpleasantness."
dark,with little or no light.
dark,hidden from knowledge; mysterious
dark,suggestive of or arising from evil characteristics or forces; sinister.
dark,gloomily pessimistic
dark,with little or no light
dark,a dark color or shade
dark,(of an expression) angry; threatening.
dark,gloomily pessimistic.
dark,(of a color or object) not reflecting much light; approaching black in shade.
darker,suggestive of or arising from evil characteristics or forces; sinister
darker,"(of a period of time or situation) characterized by tragedy, unhappiness, or unpleasantness."
darker,with little or no light.
darker,hidden from knowledge; mysterious
darker,suggestive of or arising from evil characteristics or forces; sinister.
darker,gloomily pessimistic
darker,with little or no light
darker,a dark color or shade
darker,(of an expression) angry; threatening.
darker,gloomily pessimistic.
darker,(of a color or object) not reflecting much light; approaching black in shade.
disquieting,creating feelings of anxiety or worry.
disquieting,"to take away the peace or tranquility of : disturb, alarm"
frightening,make (someone) afraid or anxious.
menacing,suggesting the presence of danger; threatening.
portentous,"a sign or warning that something, especially something momentous or calamitous, is likely to happen."
sinister,giving the impression that something harmful or evil is happening or will happen.
sinister,evil or criminal.
underhand,acting or done in a secret or dishonest way.
villainous,"relating to, constituting, or guilty of wicked or criminal behavior."
despicable,deserving hatred and contempt.
haunting,be persistently in the mind of (someone)
haunting,be persistently and disturbingly present in (something).
haunting,(of a ghost) manifest itself at (a place) regularly.
terrible,extremely unpleasant or disagreeable.
horrible,causing or likely to cause horror; shocking.
ghostly,of or like a ghost in appearance or sound; eerie and unnatura
ghostly,of or like a ghost in appearance or sound; eerie and unnatural.
malevolence,"having, showing, or arising from intense often vicious ill will, spite, or hatred"
corruption,dishonest or illegal behavior especially by powerful people 
shadowy,"of questionable merit : UNCERTAIN, UNRELIABLE"
shadowy,of the nature of or resembling a shadow
shadowy,full of shadows
shadowy,of doubtful honesty or legality
shadowy,of uncertain identity or nature
awful,a lot of something
awful,extremely disagreeable or objectionable
insidious,unpleasant or dangerous and develops gradually without being noticed.
mysterious,Someone or something that is mysterious is strange and is not known about or understood.
mysterious,strange and is not known about or understood.
mysterious,"difficult or impossible to understand, explain, or identify"
ghastly,"If you describe someone or something as ghastly, you mean that you find them very unpleasant or shocking."
ghastly,resembling a ghost
ghastly,"intensely unpleasant, disagreeable, or objectionable"
ghastly,terrifyingly horrible to the senses : frightening
darkness,the state or quality of being dark
darkness,wickedness or evil
darkness,lack of knowledge 
distasteful,causing dislike or disgust; offensive; unpleasant.
bizarre,"odd, extravagant, or eccentric in style or mode"
bizarre,involving sensational contrasts or incongruities
bizarre,Something that is bizarre is very odd and strange
harrowing,extremely upsetting or disturbing.
frightened,feeling fear : made to feel afraid
vulgar,"lacking in cultivation, perception, or taste "
vulgar,indecent; obscene; lewd:
gloomiest,causing distress or depression
gloomiest,feeling distressed or pessimistic.
gloomiest,dark or dim; deeply shaded:
terrified,cause to feel extreme fear.
appalling,very bad; awful.
appalling,causing shock or dismay; horrific.
monstrous,extremely and dauntingly large
monstrous,having the ugly or frightening appearance of a monster
monstrous,having the ugly or frightening appearance of a monster.
monstrous,outrageously evil or wrong.
monstrous,extremely and dauntingly large.
darkened,"make or become gloomy, angry, or unhappy."
darkened,make or become dark or darker.
ferocious,"(of a conflict) characterized by or involving aggression, bitterness, and determination."
ferocious,"savagely fierce, cruel, or violent."
bleak,(of a situation or future prospect) not hopeful or encouraging; unlikely to have a favorable outcome.
bleak,charmless and inhospitable; dreary
cruel,"willfully causing pain or suffering to others, or feeling no concern about it."
cruel,causing pain or suffering.
grotesque,comically or repulsively ugly or distorted
grotesque,"departing markedly from the natural, the expected, or the typical"
grotesque,"unreasonable, or offensive"
grotesque,extremely ugly and strange
disquieting,a feeling of anxiety or worry.
hulking,"a person or object that is extremely large, heavy, or slow-moving, especially when they seem threatening in some way."
dishonest,behaving or prone to behave in an untrustworthy or fraudulent way.
devil,a very wicked or cruel person.
devil,an evil spirit; a demon.
subterfuges,deceit used in order to achieve one's goal.
hostile,"not friendly, warm, or generous; not hospitable."
obscene,offensive or disgusting by accepted standards of morality and decency.
nightmare,a terrifying or very unpleasant experience or prospect
nightmare,a frightening or unpleasant dream
rotten,"morally, socially, or politically corrupt"
rotten,suffering from decay
contemptuous,"the feeling that a person or a thing is beneath consideration, worthless, or deserving scorn."
morbid,"characterized by an unusual interest in disturbing and unpleasant subjects, especially death and disease."
frightened,make (someone) afraid or anxious.
