word_lc,cos_dist,count,root_word,lemma_count
ambiguously,1.0,0.8,root,1
amorphous,1.0,0.8,root,1
ashen,1.0,0.8,root,2
baffled,1.0,0.8,root,1
barely,1.0,0.8,root,1
bewildered,1.0,0.8,root,1
blurred,1.0,0.8,root,3
confuse,1.0,0.8,root,1
confused,1.0,0.8,root,9
confusion,1.0,0.8,root,6
contain,1.0,0.8,root,1
dark,1.0,0.8,root,25
darker,1.0,0.8,root,1
dazed,1.0,0.8,root,1
dim,1.0,0.8,root,8
dimly,1.0,0.8,root,2
dimmed,1.0,0.8,root,1
disembodied,1.0,0.8,root,1
dizzy,1.0,0.8,root,1
domesticated,1.0,0.8,root,1
dusk,1.0,0.8,root,4
dusty,1.0,0.8,root,1
elusive,1.0,0.8,root,1
emptiness,1.0,0.8,root,1
faded,1.0,0.8,root,8
faint,1.0,0.8,root,8
fainted,1.0,0.8,root,3
faintest,1.0,0.8,root,1
faintly,1.0,0.8,root,10
flabby,1.0,0.8,root,1
flicker,1.0,0.8,root,2
flickered,1.0,0.8,root,1
formless,1.0,0.8,root,1
generating,1.0,0.8,root,1
ghostly,1.0,0.8,root,6
hardly,1.0,0.8,root,9
haze,1.0,0.8,root,1
hazy,1.0,0.8,root,1
hint,1.0,0.8,root,3
hinted,1.0,0.8,root,1
impenetrable,1.0,0.8,root,1
incoherent,1.0,0.8,root,3
indecipherable,1.0,0.8,root,1
indefinable,1.0,0.8,root,1
indefinite,1.0,0.8,root,2
indefinitely,1.0,0.8,root,1
indeterminate,1.0,0.8,root,1
indiscernible,1.0,0.8,root,1
indistinguishably,1.0,0.8,root,1
ineffable,1.0,0.8,root,1
lightheaded,1.0,0.8,root,1
melancholy,1.0,0.8,root,2
milky,1.0,0.8,root,1
mist,1.0,0.8,root,2
mistaken,1.0,0.8,root,1
misunderstanding,1.0,0.8,root,1
muddy,1.0,0.8,root,1
muffled,1.0,0.8,root,3
murky,1.0,0.8,root,1
murmur,1.0,0.8,root,9
murmured,1.0,0.8,root,5
murmuring,1.0,0.8,root,1
murmurs,1.0,0.8,root,1
mysterious,1.0,0.8,root,2
nebulous,1.0,0.8,root,1
normandy,1.0,0.8,root,1
notion,1.0,0.8,root,1
notions,1.0,0.8,root,1
obscure,1.0,0.8,root,1
obscurely,1.0,0.8,root,2
obscurity,1.0,0.8,root,1
pasquinade,1.0,0.8,root,1
puzzled,1.0,0.8,root,1
scarcely,1.0,0.8,root,7
shadow,1.0,0.8,root,9
shadowed,1.0,0.8,root,1
shadows,1.0,0.8,root,3
shadowy,1.0,0.8,root,1
smoky,1.0,0.8,root,1
transpired,1.0,0.8,root,1
uncertain,1.0,0.8,root,3
uncertainly,1.0,0.8,root,1
uncertainty,1.0,0.8,root,1
undefined,1.0,0.8,root,1
unfamiliar,1.0,0.8,root,9
unintelligible,1.0,0.8,root,1
unknown,1.0,0.8,root,2
vacuous,1.0,0.8,root,1
vague,1.0,0.8,root,5
vaguely,1.0,0.8,root,4
vestibule,1.0,0.8,root,1
