word_lc,cos_dist,count,root_word,lemma_count
alarming,1.0,0.8,root,1
angry,1.0,0.8,root,4
appalling,1.0,0.8,root,1
apparition,1.0,0.8,root,1
arrogant,1.0,0.8,root,2
ashen,1.0,0.8,root,2
awful,1.0,0.8,root,3
bad,1.0,0.8,root,11
bizarre,1.0,0.8,root,3
bleak,1.0,0.8,root,1
bloody,1.0,0.8,root,1
bribed,1.0,0.8,root,1
brute,1.0,0.8,root,1
coherence,1.0,0.8,root,1
contemptuous,1.0,0.8,root,3
corruption,1.0,0.8,root,1
criminal,1.0,0.8,root,1
cruel,1.0,0.8,root,1
cynical,1.0,0.8,root,2
damned,1.0,0.8,root,5
dangerously,1.0,0.8,root,1
dark,1.0,0.8,root,25
darkened,1.0,0.8,root,1
darker,1.0,0.8,root,1
darkness,1.0,0.8,root,9
demoniac,1.0,0.8,root,1
deplorably,1.0,0.8,root,1
despairing,1.0,0.8,root,1
despicable,1.0,0.8,root,1
despise,1.0,0.8,root,1
despised,1.0,0.8,root,1
despising,1.0,0.8,root,1
devil,1.0,0.8,root,3
disembodied,1.0,0.8,root,1
disgusted,1.0,0.8,root,1
dishonest,1.0,0.8,root,1
dismounted,1.0,0.8,root,1
disquieting,1.0,0.8,root,2
distasteful,1.0,0.8,root,1
elocution,1.0,0.8,root,1
euphemisms,1.0,0.8,root,1
ferocious,1.0,0.8,root,2
foreground,1.0,0.8,root,1
fright,1.0,0.8,root,1
frightened,1.0,0.8,root,4
frightening,1.0,0.8,root,2
ghastly,1.0,0.8,root,2
ghost,1.0,0.8,root,2
ghostly,1.0,0.8,root,6
ghosts,1.0,0.8,root,2
gloom,1.0,0.8,root,2
gloomiest,1.0,0.8,root,1
gloomily,1.0,0.8,root,2
grotesque,1.0,0.8,root,6
harrowing,1.0,0.8,root,1
hate,1.0,0.8,root,4
hated,1.0,0.8,root,2
haunting,1.0,0.8,root,1
horrible,1.0,0.8,root,2
horribly,1.0,0.8,root,2
hostile,1.0,0.8,root,2
hulking,1.0,0.8,root,4
insidious,1.0,0.8,root,1
insolent,1.0,0.8,root,1
intolerable,1.0,0.8,root,1
madman,1.0,0.8,root,2
malevolence,1.0,0.8,root,1
malice,1.0,0.8,root,1
menacing,1.0,0.8,root,1
meretricious,1.0,0.8,root,1
monstrous,1.0,0.8,root,1
morbid,1.0,0.8,root,2
murdered,1.0,0.8,root,1
mysterious,1.0,0.8,root,2
nightmare,1.0,0.8,root,1
obliterated,1.0,0.8,root,1
obscene,1.0,0.8,root,2
oppressive,1.0,0.8,root,1
portentous,1.0,0.8,root,2
proprietor,1.0,0.8,root,3
radiated,1.0,0.8,root,1
rakish,1.0,0.8,root,1
rotten,1.0,0.8,root,2
savage,1.0,0.8,root,2
scared,1.0,0.8,root,3
shadowy,1.0,0.8,root,1
shrill,1.0,0.8,root,3
sinister,1.0,0.8,root,4
slander,1.0,0.8,root,1
spidery,1.0,0.8,root,1
strangled,1.0,0.8,root,1
subterfuges,1.0,0.8,root,1
suspicious,1.0,0.8,root,2
suspiciously,1.0,0.8,root,2
swindler,1.0,0.8,root,1
terrible,1.0,0.8,root,9
terrified,1.0,0.8,root,1
uncivilized,1.0,0.8,root,1
underhand,1.0,0.8,root,1
unscrupulously,1.0,0.8,root,1
unutterably,1.0,0.8,root,1
vacuous,1.0,0.8,root,1
villainous,1.0,0.8,root,1
violent,1.0,0.8,root,5
violently,1.0,0.8,root,5
vulgar,1.0,0.8,root,2
worse,1.0,0.8,root,3
